Transaction_Key,Date_Key,Department_Key,Cost_Centre_Key,Cost_Category_Key,Vendor_Key,Budget_Amount,Actual_Amount,Headcount
1,20251013,11,15,1,12,109325,95585,396
2,20231127,2,4,5,9,266176,274754,79
3,20230622,2,15,8,20,630162,488669,975
4,20230311,5,14,1,13,210921,217096,642
5,20250822,1,2,1,2,117964,130896,345
6,20230615,5,8,4,15,28242,23220,2
7,20220221,12,11,5,1,315956,344117,19
8,20240729,9,10,1,18,193427,241389,1053
9,20250821,3,9,3,18,610989,598730,917
10,20241216,1,2,7,6,481451,623093,807
11,20221209,1,5,2,8,187459,208032,57
12,20230531,4,1,3,18,362839,356527,914
13,20241227,4,3,4,8,70572,72493,24
14,20220520,5,15,1,6,79938,80001,1185
15,20231024,4,10,8,20,136569,112055,21
16,20230419,4,9,6,15,77724,67708,32
17,20251010,1,13,8,14,304451,366214,281
18,20220104,6,2,3,12,83130,119025,38
19,20250707,1,9,3,19,489486,508239,787
20,20240126,7,3,3,3,570962,578633,1072
21,20241013,1,4,5,4,33948,47348,93
22,20250531,1,8,5,10,176819,158810,88
23,20220920,3,1,7,3,178498,196487,483
24,20220923,9,4,3,17,167147,188437,481
25,20250116,1,1,1,14,279042,337727,428
26,20241104,4,1,8,10,158561,207506,355
27,20230413,11,6,6,6,55678,62891,98
28,20240608,6,7,4,10,8607,8754,71
29,20250507,11,10,1,3,183605,193836,234
30,20220521,12,4,2,8,394541,534229,2
31,20230315,8,8,3,5,355661,295690,773
32,20230624,2,6,1,13,142345,138970,390
33,20240317,2,5,3,6,472827,470451,211
34,20251126,7,13,4,14,108382,75267,75
35,20240517,1,9,5,5,126883,110719,53
36,20220410,2,11,4,1,69927,86789,35
37,20220713,9,13,1,1,86671,76566,628
38,20240326,10,5,3,17,461842,463239,1025
39,20230509,3,1,5,4,257008,196963,118
40,20220117,2,10,8,6,340292,419312,1012
41,20221227,9,5,1,18,66567,58049,603
42,20250207,10,12,1,12,145566,116881,57
43,20250115,5,1,3,4,504549,506835,455
44,20220216,6,1,6,5,72728,66844,72
45,20220929,2,2,1,15,247027,191529,412
